'NP10-10 OS','9/64','0.1451','+.0000/-.0003','.005 oversize','1/4','Yes','$4.18'
'NP11-10 OS','5/32','0.1607','+.0000/-.0003','.005 oversize','9/32','Yes','$3.74'
'NP11-14 OS','5/32','0.1607','+.0000/-.0003','.005 oversize','9/32','Yes','$4.54'
'NP12-10 OS','11/64','0.1764','+.0000/-.0003','.005 oversize','11/32','Yes','$4.41'
'NP13-10 OS','3/16','0.192','+.0000/-.0003','.005 oversize','3/8','Yes','$3.87'
'NP13-14 OS','3/16','0.192','+.0000/-.0003','.005 oversize','3/8','Yes','$4.46'
'NP13-6 OS','3/16','0.192','+.0000/-.0003','.005 oversize','3/8','Yes','$3.19'
'NP15-10 OS','7/32','0.2233','+.0000/-.0003','.005 oversize','13/32','Yes','$4.21'
'NP15-14 OS','7/32','0.2233','+.0000/-.0003','.005 oversize','13/32','Yes','$4.96'
'NP17-10 OS','1/4','0.2545','+.0000/-.0003','.005 oversize','7/16','Yes','$4.50'
'NP17-14 OS','1/4','0.2545','+.0000/-.0003','.005 oversize','7/16','Yes','$5.34'
'NP17-18 OS','1/4','0.2545','+.0000/-.0003','.005 oversize','7/16','Yes','$6.77'
'NP17-6 OS','1/4','0.2545','+.0000/-.0003','.005 oversize','7/16','Yes','$3.65'
'NP18-10 OS','17/64','0.2701','+.0000/-.0003','.005 oversize','7/16','Yes','$5.90'
'NP19-10 OS','9/32','0.2857','+.0000/-.0003','.005 oversize','7/16','Yes','$4.95'
'NP21-10 OS','5/16','0.317','+.0000/-.0003','.005 oversize','1/2','Yes','$5.40'
'NP21-14 OS','5/16','0.317','+.0000/-.0003','.005 oversize','1/2','Yes','$6.63'
'NP21-18 OS','5/16','0.317','+.0000/-.0003','.005 oversize','1/2','Yes','$8.29'
'NP21-6 OS','5/16','0.317','+.0000/-.0003','.005 oversize','1/2','Yes','$4.49'
'NP23-10 OS','11/32','0.3483','+.0000/-.0003','.005 oversize','9/16','Yes','$6.13'
'NP25-10 OS','3/8','0.3795','+.0000/-.0003','.005 oversize','5/8','Yes','$6.76'
'NP25-14 OS','3/8','0.3795','+.0000/-.0003','.005 oversize','5/8','Yes','$8.13'
'NP25-18 OS','3/8','0.3795','+.0000/-.0003','.005 oversize','5/8','Yes','$10.77'
'NP25-25 OS','3/8','0.3795','+.0000/-.0003','.005 oversize','5/8','Yes','$15.03'
'NP25-6 OS','3/8','0.3795','+.0000/-.0003','.005 oversize','5/8','Yes','$6.11'
'NP27-10 OS','13/32','0.4107','+.0000/-.0003','.005 oversize','11/16','Yes','$7.29'
'NP27-14 OS','13/32','0.4107','+.0000/-.0003','.005 oversize','11/16','Yes','$9.24'
'NP29-10 OS','7/16','0.442','+.0000/-.0003','.005 oversize','11/16','Yes','$7.90'
'NP29-14 OS','7/16','0.442','+.0000/-.0003','.005 oversize','11/16','Yes','$10.56'
'NP31-10 OS','15/32','0.4733','+.0000/-.0003','.005 oversize','3/4','Yes','$8.70'
'NP33-10 OS','1/2','0.5045','+.0000/-.0003','.005 oversize','3/4','Yes','$9.46'
'NP33-14 OS','1/2','0.5045','+.0000/-.0003','.005 oversize','3/4','Yes','$12.34'
'NP3-6 OS','1/32','0.0357','+.0000/-.0003','.005 oversize','1/4','Yes','$5.65'
'NP5-6 OS','1/16','0.067','+.0000/-.0003','.005 oversize','1/4','Yes','$3.69'
'NP7-10 OS','3/32','0.0983','+.0000/-.0003','.005 oversize','1/4','Yes','$6.36'
'NP7-6 OS','3/32','0.0983','+.0000/-.0003','.005 oversize','1/4','Yes','$6.17'
'NP8-10 OS','7/64','0.1139','+.0000/-.0003','.005 oversize','1/4','Yes','$6.36'
'NP9-10 OS','1/8','0.1295','+.0000/-.0003','.005 oversize','1/4','Yes','$3.38'
'NP9-14 OS','1/8','0.1295','+.0000/-.0003','.005 oversize','1/4','Yes','$3.82'
'NP9-6 OS','1/8','0.1295','+.0000/-.0003','.005 oversize','1/4','Yes','$2.94'
