Item Number,Actual Pin Diameter,Actual Pin Diameter Tolerance,Annealed Head,D Nominal Pin Diameter,H Head Diameter,L Overall Length,Price,
'P3-4','0.0307','+.0000 -.0003','No','1/32','1/8','4','10.20'
'P3-6','0.0307','+.0000 -.0003','Yes','1/32','1/8','6','10.32'
'P4-4','0.0464','+.0000 -.0003','No','3/64','5/32','4','5.88'
'P4-6','0.0464','+.0000 -.0003','Yes','3/64','5/32','6','5.94'
'P5-4','0.062','+.0000 -.0003','No','1/16','3/16','4','5.49'
'P5-6','0.062','+.0000 -.0003','Yes','1/16','3/16','6','5.55'
'P5-8','0.062','+.0000 -.0003','Yes','1/16','3/16','8','6.13'
'P5-10','0.062','+.0000 -.0003','Yes','1/16','3/16','10','6.51'
'P6-4','0.0776','+.0000 -.0003','No','5/64','13/64','4','5.49'
'P6-6','0.0776','+.0000 -.0003','Yes','5/64','13/64','6','5.55'
'P6-8','0.0776','+.0000 -.0003','Yes','5/64','13/64','8','6.13'
'P6-10','0.0776','+.0000 -.0003','Yes','5/64','13/64','10','6.51'
'P7-4','0.0933','+.0000 -.0003','No','3/32','7/32','4','4.90'
'P7-6','0.0933','+.0000 -.0003','Yes','3/32','7/32','6','5.04'
'P7-8','0.0933','+.0000 -.0003','Yes','3/32','7/32','8','5.55'
'P7-10','0.0933','+.0000 -.0003','Yes','3/32','7/32','10','5.61'
'P8-4','0.1089','+.0000 -.0003','No','7/64','15/64','4','4.90'
'P8-6','0.1089','+.0000 -.0003','Yes','7/64','15/64','6','5.04'
'P8-8','0.1089','+.0000 -.0003','Yes','7/64','15/64','8','5.55'
'P8-10','0.1089','+.0000 -.0003','Yes','7/64','15/64','10','5.61'
'P9-4','0.1245','+.0000 -.0003','No','1/8','1/4','4','2.64'
'P9-6','0.1245','+.0000 -.0003','Yes','1/8','1/4','6','2.85'
'P9-8','0.1245','+.0000 -.0003','Yes','1/8','1/4','8','3.04'
'P9-10','0.1245','+.0000 -.0003','Yes','1/8','1/4','10','3.22'
'P9-12','0.1245','+.0000 -.0003','Yes','1/8','1/4','12','3.43'
'P9-14','0.1245','+.0000 -.0003','Yes','1/8','1/4','14','3.67'
'P10-4','0.1401','+.0000 -.0003','No','9/64','1/4','4','2.96'
'P10-6','0.1401','+.0000 -.0003','Yes','9/64','1/4','6','3.04'
'P10-10','0.1401','+.0000 -.0003','Yes','9/64','1/4','10','3.41'
'P10-14','0.1401','+.0000 -.0003','Yes','9/64','1/4','14','4.20'
'P11-4','0.1557','+.0000 -.0003','No','5/32','9/32','4','2.78'
'P11-6','0.1557','+.0000 -.0003','Yes','5/32','9/32','6','3.03'
'P11-8','0.1557','+.0000 -.0003','Yes','5/32','9/32','8','3.16'
'P11-10','0.1557','+.0000 -.0003','Yes','5/32','9/32','10','3.39'
'P11-12','0.1557','+.0000 -.0003','Yes','5/32','9/32','12','3.68'
'P11-14','0.1557','+.0000 -.0003','Yes','5/32','9/32','14','4.00'
'P12-4','0.1714','+.0000 -.0003','No','11/64','11/32','4','3.16'
'P12-6','0.1714','+.0000 -.0003','Yes','11/64','11/32','6','3.24'
'P12-10','0.1714','+.0000 -.0003','Yes','11/64','11/32','10','3.61'
'P12-14','0.1714','+.0000 -.0003','Yes','11/64','11/32','14','4.45'
'P13-4','0.187','+.0000 -.0003','No','3/16','3/8','4','2.91'
