'AR3-6','0.0307','+.0000 -.0003','Yes','1/32','1/8','6','11.55'
'AR4-6','0.0464','+.0000 -.0003','Yes','3/64','5/32','6','7.72'
'AR5-4','0.062','+.0000 -.0003','Yes','1/16','3/16','4','8.56'
'AR5-6','0.062','+.0000 -.0003','Yes','1/16','3/16','6','7.35'
'AR5-10','0.062','+.0000 -.0003','Yes','1/16','3/16','10','8.12'
'AR6-6','0.0776','+.0000 -.0003','Yes','5/64','13/64','6','6.87'
'AR7-6','0.0933','+.0000 -.0003','Yes','3/32','7/32','6','7.09'
'AR7-8','0.0933','+.0000 -.0003','Yes','3/32','7/32','8','6.80'
'AR7-10','0.0933','+.0000 -.0003','Yes','3/32','7/32','10','7.25'
'AR8-4','0.1089','+.0000 -.0003','Yes','7/64','15/64','4','6.30'
'AR8-10','0.1089','+.0000 -.0003','Yes','7/64','15/64','10','7.63'
'AR9-6','0.1245','+.0000 -.0003','Yes','1/8','1/4','6','4.98'
'AR9-10','0.1245','+.0000 -.0003','Yes','1/8','1/4','10','5.36'
'AR9-12','0.1245','+.0000 -.0003','Yes','1/8','1/4','12','6.12'
'AR9-14','0.1245','+.0000 -.0003','Yes','1/8','1/4','14','6.49'
'AR9-18','0.1245','+.0000 -.0003','Yes','1/8','1/4','18','19.69'
'AR10-10','0.1401','+.0000 -.0003','Yes','9/64','1/4','10','5.52'
'AR10-14','0.1401','+.0000 -.0003','Yes','9/64','1/4','14','9.45'
'AR11-6','0.1557','+.0000 -.0003','Yes','5/32','9/32','6','5.14'
'AR11-10','0.1557','+.0000 -.0003','Yes','5/32','9/32','10','5.31'
'AR11-12','0.1557','+.0000 -.0003','Yes','5/32','9/32','12','6.44'
'AR11-14','0.1557','+.0000 -.0003','Yes','5/32','9/32','14','7.09'
'AR11-18','0.1557','+.0000 -.0003','Yes','5/32','9/32','18','12.12'
'AR11-25','0.1557','+.0000 -.0003','Yes','5/32','9/32','25','28.18'
'AR12-10','0.1714','+.0000 -.0003','Yes','11/64','11/32','10','5.61'
'AR13-6','0.187','+.0000 -.0003','Yes','3/16','3/8','6','5.36'
'AR13-8','0.187','+.0000 -.0003','Yes','3/16','3/8','8','5.63'
'AR13-10','0.187','+.0000 -.0003','Yes','3/16','3/8','10','5.90'
'AR13-12','0.187','+.0000 -.0003','Yes','3/16','3/8','12','6.65'
