'P3-6 OS','0.0357','+.0000 -.0003','Yes','1/32','1/8','6','10.70'
'P4-6 OS','0.0514','+.0000 -.0003','Yes','3/64','5/32','6','7.18'
'P5-6 OS','0.067','+.0000 -.0003','Yes','1/16','3/16','6','6.52'
'P5-10 OS','0.067','+.0000 -.0003','Yes','1/16','3/16','10','6.83'
'P6-6 OS','0.0826','+.0000 -.0003','Yes','5/64','13/64','6','6.52'
'P6-10 OS','0.0826','+.0000 -.0003','Yes','5/64','13/64','10','6.83'
'P7-6 OS','0.0983','+.0000 -.0003','Yes','3/32','7/32','6','6.04'
'P7-10 OS','0.0983','+.0000 -.0003','Yes','3/32','7/32','10','6.23'
'P8-6 OS','0.1139','+.0000 -.0003','Yes','7/64','15/64','6','6.04'
'P8-10 OS','0.1139','+.0000 -.0003','Yes','7/64','15/64','10','6.23'
'P9-6 OS','0.1295','+.0000 -.0003','Yes','1/8','1/4','6','2.85'
'P9-8 OS-1','0.1255','+.0000 -.0003','Yes','1/8','1/4','8','10.63'
'P9-8 OS-2','0.1265','+.0000 -.0003','Yes','1/8','1/4','8','10.63'
'P9-8 OS-3','0.1275','+.0000 -.0003','Yes','1/8','1/4','8','10.63'
'P9-8 OS-4','0.1285','+.0000 -.0003','Yes','1/8','1/4','8','10.63'
'P9-10 OS','0.1295','+.0000 -.0003','Yes','1/8','1/4','10','3.55'
'P9-14 OS','0.1295','+.0000 -.0003','Yes','1/8','1/4','14','4.02'
'P10-6 OS','0.1451','+.0000 -.0003','Yes','9/64','1/4','6','3.51'
'P10-10 OS','0.1451','+.0000 -.0003','Yes','9/64','1/4','10','4.10'
'P10-14 OS','0.1451','+.0000 -.0003','Yes','9/64','1/4','14','5.37'
'P11-6 OS','0.1607','+.0000 -.0003','Yes','5/32','9/32','6','2.96'
'P11-8 OS-1','0.1567','+.0000 -.0003','Yes','5/32','9/32','8','10.70'
'P11-8 OS-2','0.1577','+.0000 -.0003','Yes','5/32','9/32','8','10.70'
'P11-8 OS-3','0.1587','+.0000 -.0003','Yes','5/32','9/32','8','10.70'
'P11-8 OS-4','0.1597','+.0000 -.0003','Yes','5/32','9/32','8','10.70'
'P11-10 OS','0.1607','+.0000 -.0003','Yes','5/32','9/32','10','3.94'
'P11-14 OS','0.1607','+.0000 -.0003','Yes','5/32','9/32','14','4.77'
'P12-6 OS','0.1764','+.0000 -.0003','Yes','11/64','11/32','6','3.69'
'P12-10 OS','0.1764','+.0000 -.0003','Yes','11/64','11/32','10','4.36'
'P12-14 OS','0.1764','+.0000 -.0003','Yes','11/64','11/32','14','5.20'
'P13-6 OS','0.192','+.0000 -.0003','Yes','3/16','3/8','6','3.15'
'P13-8 OS-1','0.1880','+.0000 -.0003','Yes','3/16','3/8','8','12.09'
'P13-8 OS-2','0.1890','+.0000 -.0003','Yes','3/16','3/8','8','12.09'
'P13-8 OS-3','0.1900','+.0000 -.0003','Yes','3/16','3/8','8','12.09'
'P13-8 OS-4','0.1910','+.0000 -.0003','Yes','3/16','3/8','8','12.09'
'P13-10 OS','0.192','+.0000 -.0003','Yes','3/16','3/8','10','4.06'
'P13-14 OS','0.1920','+.0000 -.0003','Yes','3/16','3/8','14','4.68'
'P14-6 OS','0.2076','+.0000 -.0003','Yes','13/64','3/8','6','4.05'
'P14-10 OS','0.2076','+.0000 -.0003','Yes','13/64','3/8','10','4.59'
'P14-14 OS','0.2076','+.0000 -.0003','Yes','13/64','3/8','14','5.67'
'P15-6 OS','0.2233','+.0000 -.0003','Yes','7/32','13/32','6','3.63'
'P15-10 OS','0.2233','+.0000 -.0003','Yes','7/32','13/32','10','4.41'
'P15-14 OS','0.2233','+.0000 -.0003','Yes','7/32','13/32','14','5.21'
'P16-10 OS','0.2389','+.0000 -.0003','Yes','15/64','13/32','10','4.95'
'P16-14 OS','0.2389','+.0000 -.0003','Yes','15/64','13/32','14','6.45'
'P17-6 OS','0.2545','+.0000 -.0003','Yes','1/4','7/16','6','3.57'
'P17-8 OS-1','0.2505','+.0000 -.0003','Yes','1/4','7/16','8','12.62'
'P17-8 OS-2','0.2515','+.0000 -.0003','Yes','1/4','7/16','8','12.62'
'P17-8 OS-3','0.2525','+.0000 -.0003','Yes','1/4','7/16','8','12.62'
'P17-8 OS-4','0.2535','+.0000 -.0003','Yes','1/4','7/16','8','12.62'
'P17-8 OS-6','0.2555','+.0000 -.0003','Yes','1/4','7/16','8','12.62'
'P17-8 OS-7','0.2565','+.0000 -.0003','Yes','1/4','7/16','8','12.62'
'P17-8 OS-8','0.2575','+.0000 -.0003','Yes','1/4','7/16','8','12.62'
'P17-10 OS','0.2545','+.0000 -.0003','Yes','1/4','7/16','10','4.73'
'P17-14 OS','0.2545','+.0000 -.0003','Yes','1/4','7/16','14','5.62'
'P18-6 OS','0.2701','+.0000 -.0003','Yes','17/64','7/16','6','4.90'
'P18-10 OS','0.2701','+.0000 -.0003','Yes','17/64','7/16','10','5.80'
'P18-14 OS','0.2701','+.0000 -.0003','Yes','17/64','7/16','14','6.71'
'P19-6 OS','0.2857','+.0000 -.0003','Yes','9/32','7/16','6','4.48'
'P19-10 OS','0.2857','+.0000 -.0003','Yes','9/32','7/16','10','5.20'
