'NP3-6','0.0307','-.0005 -.0010','Yes','1/32','1/4','6','5.74'
'NP5-6','0.062','-.0005 -.0008','Yes','1/16','1/4','6','5.37'
'NP6-6','0.0776','-.0005 -.0008','Yes','5/64','1/4','6','5.37'
'NP6-10','0.0776','-.0005 -.0008','Yes','5/64','1/4','10','6.25'
'NP7-6','0.0933','-.005-.008','1','3/32','1/4','6','4.86'
'NP7-10','0.0933','-.005-.008','1','3/32','1/4','10','5.37'
'NP7-14','0.0933','-.005-.008','1','3/32','1/4','14','6.99'
'NP8-6','0.1089','-.0005 -.0008','Yes','7/64','1/4','6','4.86'
'NP8-10','0.1089','-.0005 -.0008','Yes','7/64','1/4','10','5.68'
'NP9-6','0.1245','-.0005 -.0008','Yes','1/8','1/4','6','2.65'
'NP9-10','0.1245','-.0005 -.0008','Yes','1/8','1/4','10','2.97'
'NP9-14','0.1245','-.0005 -.0008','Yes','1/8','1/4','14','3.40'
'NP9-18','0.1245','-.0005 -.0008','Yes','1/8','1/4','18','4.06'
'NP9-25','0.1245','-.0005 -.0008','Yes','1/8','1/4','25','6.89'
'NP10-10','0.1401','-.0005 -.0008','Yes','9/64','1/4','10','3.16'
'NP10-14','0.1401','-.0005 -.0008','Yes','9/64','1/4','14','3.88'
'NP11-6','0.1557','-.0005 -.0008','Yes','5/32','9/32','6','2.80'
'NP11-10','0.1557','-.0005 -.0008','Yes','5/32','9/32','10','3.12'
'NP11-14','0.1557','-.0005 -.0008','Yes','5/32','9/32','14','3.70'
'NP11-18','0.1557','-.0005 -.0008','Yes','5/32','9/32','18','5.11'
'NP11-25','0.1557','-.0005 -.0008','Yes','5/32','9/32','25','9.41'
'NP11-36','0.1557','-.0005 -.0008','Yes','5/32','9/32','36','29.52'
'NP11-39','0.1557','-.0005 -.0008','Yes','5/32','9/32','39','55.50'
'NP12-10','0.1714','-.0005 -.0008','Yes','11/64','11/32','10','3.35'
'NP12-14','0.1714','-.0005 -.0008','Yes','11/64','11/32','14','4.11'
'NP13-6','0.187','-.0005 -.0008','Yes','3/16','3/8','6','2.86'
'NP13-10','0.187','-.0005 -.0008','Yes','3/16','3/8','10','3.30'
'NP13-14','0.187','-.0005 -.0008','Yes','3/16','3/8','14','4.13'
'NP13-18','0.187','-.0005 -.0008','Yes','3/16','3/8','18','5.31'
'NP13-25','0.187','-.0005 -.0008','Yes','3/16','3/8','25','7.48'
'NP13-36','0.187','-.0005 -.0008','Yes','3/16','3/8','36','29.39'
'NP13-39','0.187','-.0005 -.0008','Yes','3/16','3/8','39','54.78'
'NP14-10','0.2026','-.0005 -.0008','Yes','13/64','3/8','10','3.60'
'NP14-14','0.2026','-.0005 -.0008','Yes','13/64','3/8','14','4.36'
'NP15-6','0.2183','-.0005 -.0008','Yes','7/32','13/32','6','3.10'
'NP15-10','0.2183','-.0005 -.0008','Yes','7/32','13/32','10','3.65'
'NP15-14','0.2183','-.0005 -.0008','Yes','7/32','13/32','14','4.51'
'NP15-25','0.2183','-.0005 -.0008','Yes','7/32','13/32','25','7.97'
'NP16-10','0.2339','-.0005 -.0008','Yes','15/64','13/32','10','4.02'
'NP16-14','0.2339','-.0005 -.0008','Yes','15/64','13/32','14','4.90'
'NP17-6','0.2495','-.0005 -.0008','Yes','1/4','7/16','6','3.28'
'NP17-10','0.2495','-.0005 -.0008','Yes','1/4','7/16','10','4.06'
'NP17-14','0.2495','-.0005 -.0008','Yes','1/4','7/16','14','4.90'
'NP17-18','0.2495','-.0005 -.0008','Yes','1/4','7/16','18','6.28'
'NP17-25','0.2495','-.0005 -.0008','Yes','1/4','7/16','25','8.79'
'NP17-36','0.2495','-.0005 -.0008','Yes','1/4','7/16','36','31.45'
'NP17-39','0.2495','-.0005 -.0008','Yes','1/4','7/16','39','56.98'
'NP18-10','0.2651','-.0005 -.0008','Yes','17/64','7/16','10','4.51'
